Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:42NLb00srDu2Np8nClaunT,"Beam Me Up","The Truth About Love","P!nk",2012-09-17,267293,0,false,quirky613,2026-06-26T00:00:39Z,"country","RCA Records Label",0.487,0.338,0,-7.019,1,0.0309,0.522,0,0.151,0.254,117.998,4
spotify:track:2njsHfecNUudLkidClgB1r,"Walk of Shame","The Truth About Love","P!nk",2012-09-17,161973,0,true,quirky613,2026-06-26T00:00:39Z,"country","RCA Records Label",0.667,0.902,7,-4.588,1,0.0988,0.00112,0,0.0624,0.719,135.933,4
spotify:track:2id8E4WvczfKHB4LHI7Np3,"Edge of Seventeen","Crystal Visions...The Very Best of Stevie Nicks","Stevie Nicks",2007-03-27,329680,71,false,quirky613,2026-06-26T00:01:55Z,"soft pop","Reprise",0.59,0.828,0,-6.28,1,0.0439,0.277,0.00000557,0.0868,0.636,111.353,4
spotify:track:2npStoMbQxG1LcIeF4PZrj,"Leather and Lace (with Don Henley)","Timespace - The Best Of Stevie Nicks","Stevie Nicks",1991-08-30,229226,55,false,quirky613,2026-06-26T00:01:55Z,"soft pop","Rhino Atlantic",0.553,0.398,3,-11.67,1,0.0303,0.664,0,0.114,0.392,76.074,4
spotify:track:5OQGeJ1ceykovrykZsGhqL,"Breathless","In Blue","The Corrs",2000-07-17,207506,76,false,quirky613,2026-06-26T00:02:03Z,"baroque pop","Atlantic Records",0.607,0.82,11,-7.754,1,0.0597,0.0541,0.000068,0.269,0.768,126.988,4
spotify:track:34dAuFhftSbjLWksf8c73i,"Bad Romance","The Fame Monster","Lady Gaga",2009-01-01,294466,0,false,quirky613,2026-06-26T00:04:07Z,"yacht rock,classic rock,soft rock","Interscope",0.694,0.924,0,-3.764,1,0.0405,0.00309,0.0000389,0.121,0.72,118.988,4
spotify:track:0WfKDYeUAoLA3vdvLKKWMW,"Poker Face","The Fame","Lady Gaga",2008-01-01,237200,3,false,quirky613,2026-06-26T00:04:07Z,"yacht rock,classic rock,soft rock","Streamline/Interscope",0.851,0.806,4,-4.618,1,0.0786,0.12,0.00000133,0.121,0.776,119.001,4
spotify:track:16Me2jlMlTX4xsps2j71mC,"Paparazzi","The Fame","Lady Gaga",2008-01-01,208306,1,false,quirky613,2026-06-26T00:04:07Z,"yacht rock,classic rock,soft rock","Streamline/Interscope",0.763,0.693,5,-3.973,0,0.0438,0.111,0,0.101,0.399,114.912,4
spotify:track:0eH2eHURaXUP15D8gQlfjx,"LoveGame","The Fame","Lady Gaga",2008-01-01,216333,78,false,quirky613,2026-06-26T00:04:07Z,"yacht rock,classic rock,soft rock","Streamline/Interscope",0.894,0.678,6,-5.611,0,0.0523,0.00569,0.00000243,0.317,0.844,105.029,4
spotify:track:6HkjpGIOHv4y0IBAxUbE5z,"Just Dance","The Fame","Lady Gaga;Colby O'Donis",2008-01-01,241933,3,false,quirky613,2026-06-26T00:04:07Z,"yacht rock,classic rock,soft rock","Streamline/Interscope",0.822,0.737,1,-4.542,0,0.0314,0.0261,0.0000419,0.18,0.753,118.994,4
spotify:track:6naxalmIoLFWR0siv8dnQQ,"Oops!...I Did It Again","Oops!... I Did It Again","Britney Spears",2000-05-16,211160,86,false,quirky613,2026-06-26T00:04:56Z,"","Jive",0.751,0.834,1,-5.444,0,0.0437,0.3,0.0000177,0.355,0.894,95.053,4
spotify:track:7jk7gqyEonmVVYahZN5zhW,"Circus","Circus (Deluxe Version)","Britney Spears",2008-12-02,192359,82,false,quirky613,2026-06-26T00:04:56Z,"","Jive",0.791,0.733,6,-5.215,0,0.052,0.147,0.000381,0.0713,0.761,114.98,4
spotify:track:2meEiZKWkiN28gITzFwQo5,"Into You","Dangerous Woman","Ariana Grande",2016-05-20,244453,5,false,quirky613,2026-06-26T00:06:12Z,"","Universal Records",0.623,0.734,9,-5.948,1,0.107,0.0162,0.00000175,0.145,0.37,107.853,4
spotify:track:1pKeFVVUOPjFsOABub0OaV,"Side To Side","Dangerous Woman","Ariana Grande;Nicki Minaj",2016-05-20,226160,5,true,quirky613,2026-06-26T00:06:12Z,"bedroom pop","Universal Records",0.65,0.736,6,-5.84,0,0.229,0.0528,0,0.235,0.613,159.173,4
spotify:track:4OafepJy2teCjYJbvFE60J,"breathin","Sweetener","Ariana Grande",2018-08-17,198160,76,true,quirky613,2026-06-26T00:06:12Z,"","Republic Records",0.568,0.656,8,-5.413,1,0.0433,0.0211,0.0000137,0.213,0.364,100.049,4
spotify:track:2rPE9A1vEgShuZxxzR2tZH,"thank u, next","thank u, next","Ariana Grande",2018-11-03,207333,28,true,quirky613,2026-06-26T00:06:12Z,"","Universal Records",0.724,0.647,1,-5.642,1,0.0658,0.28,0,0.102,0.435,106.96,4
spotify:track:7nXq1vaZiz7PdbfojpPjW5,"Fighter","Stripped","Christina Aguilera",2002-07-19,245960,70,false,quirky613,2026-06-26T00:06:54Z,"bedroom pop","RCA Records Label",0.435,0.92,4,-1.357,0,0.201,0.235,0.000353,0.552,0.45,188.899,4
spotify:track:3TCauNPqFiniaYHBvEVoHG,"Beautiful","Stripped","Christina Aguilera",2002-07-19,238560,71,false,quirky613,2026-06-26T00:06:54Z,"bedroom pop","RCA Records Label",0.456,0.573,5,-3.866,0,0.0275,0.578,0.00000305,0.114,0.0992,76.19,4
spotify:track:0KvLsZYwodakWxOQUYAR5I,"That Don't Impress Me Much","Come On Over","Shania Twain",1997,238706,0,false,quirky613,2026-06-26T00:09:30Z,"","Strategic Marketing",0.745,0.869,10,-4.828,0,0.0574,0.153,0,0.139,0.963,125.005,5
spotify:track:0IF0vGwaJQ8ZCh0QxhW6OV,"Man! I Feel Like A Woman!","Come On Over","Shania Twain",1997,233000,2,false,quirky613,2026-06-26T00:09:30Z,"","Strategic Marketing",0.678,0.899,10,-2.937,1,0.048,0.637,0,0.347,0.757,124.944,4
spotify:track:6QLO02TAXSUqgk0wNXywuz,"Come On Over","Come On Over","Shania Twain",1997,173506,0,false,quirky613,2026-06-26T00:09:30Z,"","Strategic Marketing",0.618,0.92,11,-4.529,1,0.0457,0.112,0,0.691,0.966,76.512,4
spotify:track:7wCH9DbgRs7ujHeqNy6oAS,"You're Still The One","Come On Over","Shania Twain",1997,212560,0,false,quirky613,2026-06-26T00:09:30Z,"","Strategic Marketing",0.551,0.527,3,-7.119,1,0.0302,0.45,0,0.0867,0.642,133.758,4
