Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:6AoYWCzsDls6c61Zp5qTuU,"$ave Dat Money (feat. Fetty Wap & Rich Homie Quan)","Professional Rapper","Lil Dicky;Fetty Wap;Rich Homie Quan",2015-07-31,290835,1,true,quirky613,2026-06-26T00:28:27Z,"rap,melodic rap,trap","CMSN",0.858,0.697,2,-5.361,1,0.23,0.114,0,0.224,0.364,98.012,4
spotify:track:0wdKiSBUT7aZkXUIdJWcwC,"2 Phones","Islah (Deluxe)","Kevin Gates",2016-01-29,240000,72,true,quirky613,2026-06-26T00:28:27Z,"southern hip hop","Bread Winners' Association/Atlantic",0.895,0.681,7,-5.267,0,0.358,0.157,0,0.189,0.554,121.918,4
spotify:track:3Z2sglqDj1rDRMF5x0Sz2R,"3005","Because The Internet","Childish Gambino",2013-01-01,234213,2,true,quirky613,2026-06-26T00:28:27Z,"bedroom pop","Glassnote Entertainment Group LLC",0.473,0.461,6,-6.474,0,0.333,0.149,0,0.0973,0.615,165.985,4
spotify:track:7uJH0YdSZL6psjxI6Xy08b,"Acquainted","Beauty Behind The Madness","The Weeknd",2015-08-28,348853,76,true,quirky613,2026-06-26T00:28:27Z,"","The Weeknd/Lyric",0.372,0.478,7,-9.835,0,0.0503,0.482,0,0.0844,0.254,101.102,4
spotify:track:4SBED4EYaEdY8mgLF9gcOm,"All Around The World","Best Day Ever (5th Anniversary Remastered Edition)","Mac Miller",2016-06-03,221232,0,true,quirky613,2026-06-26T00:28:27Z,"","Rostrum Records, LLC",0.459,0.925,1,-4.207,1,0.232,0.00652,0,0.0622,0.354,150.632,4
spotify:track:3ddNKnYpVx0uI8vcwbTQ5Y,"Sheesh!","Sheesh!","Surfaces;Tai Verdes",2021-08-20,148846,0,false,quirky613,2026-06-26T00:28:27Z,"r&b,quiet storm","Surfaces Music / 10K Projects",0.743,0.832,5,-3.937,1,0.0611,0.161,0,0.0925,0.801,149.951,4
spotify:track:1ts8KebAIm5xCiGInoWiqp,"Fine Apple","Fine Apple","Nic D",2021-05-28,153296,57,false,quirky613,2026-06-26T00:28:27Z,"disco,philly soul,northern soul","Republic Records",0.925,0.558,2,-5.362,1,0.0513,0.178,0,0.125,0.467,119.992,4
spotify:track:1fah1uAs7HeTYDlNftKr3K,"Put Your Records On","Put Your Records On","Ritt Momney",2020-04-24,210463,0,false,quirky613,2026-06-26T00:28:27Z,"moombahton","QuarterZip",0.399,0.492,6,-10.777,0,0.0538,0.058,0.00101,0.11,0.159,91.066,4
spotify:track:24mEcNnglAOmHEvzQmrZaY,"Loving","Surf","Surfaces",2017-12-03,253698,0,false,quirky613,2026-06-26T00:28:27Z,"r&b,quiet storm","Surfaces, LLC / TenThousand Projects, LLC",0.493,0.589,9,-6.478,1,0.178,0.544,0,0.277,0.21,161.884,4
spotify:track:6HN5XPJEV31RQJGoyqZ81K,"Take It Back","Everybody","Logic",2017-05-05,400013,46,true,quirky613,2026-06-26T00:30:05Z,"cloud rap,experimental hip hop","Def Jam Recordings",0.837,0.84,7,-4.293,1,0.239,0.0621,0,0.329,0.691,135.009,4
spotify:track:3GKL13lkM5nRc4zC1lIOrR,"Still Not a Player (feat. Joe) - Radio Version","Capital Punishment","Big Pun;Joe",1998-04-28,236800,75,false,quirky613,2026-06-26T00:30:05Z,"","LOUD Records",0.9,0.62,4,-6.518,0,0.312,0.2,0.00156,0.0647,0.867,94.121,4
spotify:track:6a8lMvYwJBwV4OtmdI1aDb,"Hey Ma","Come Home With Me","Cam'ron;Juelz Santana;Freekey Zeekey;Toya",2003-01-01,230080,0,true,quirky613,2026-06-26T00:30:05Z,"east coast hip hop,melodic rap","Roc-A-Fella",0.766,0.669,8,-5.57,1,0.363,0.0283,0.00000525,0.337,0.934,89.806,4
spotify:track:2lUirvUhqfBqJzUvk4tLoK,"It Was A Good Day","The Predator (World) [Explicit]","Ice Cube",1992-11-17,259946,0,true,quirky613,2026-06-26T00:30:05Z,"west coast hip hop,g-funk","Priority Records",0.792,0.82,7,-3.58,0,0.116,0.279,0.000403,0.25,0.793,82.363,4
spotify:track:4YH7AZpdCXEAGOsSAZYPOq,"My Mind Playin Tricks on Me","Uncut Dope","Geto Boys",1992-11-17,311786,0,true,quirky613,2026-06-26T00:30:05Z,"","Rap-A-Lot Records",0.888,0.625,10,-8.292,0,0.208,0.204,0,0.0823,0.421,94.007,4
spotify:track:5ByAIlEEnxYdvpnezg7HTX,"Juicy - 2005 Remaster","Ready to Die (The Remaster)","The Notorious B.I.G.",1994-09-13,302760,78,true,quirky613,2026-06-26T00:30:05Z,"","Bad Boy Records",0.889,0.818,9,-4.639,1,0.253,0.47,0,0.179,0.782,96.063,4
spotify:track:2g8HN35AnVGIk7B8yMucww,"Big Poppa - 2005 Remaster","Ready to Die (The Remaster)","The Notorious B.I.G.",1994-09-13,252746,84,true,quirky613,2026-06-26T00:30:05Z,"","Bad Boy Records",0.78,0.575,9,-7.247,0,0.273,0.43,0,0.143,0.773,84.492,4
spotify:track:2xTft6GEZeTyWNpdX94rkf,"All Eyez On Me","All Eyez On Me","2Pac",1996-02-13,307773,5,true,quirky613,2026-06-26T00:30:05Z,"","Death Row Records",0.873,0.719,1,-5.948,1,0.248,0.03,0,0.333,0.858,93.281,4
spotify:track:2v4ZPYp9rhFdAcAuS6sMAy,"Coleen","Great Vengeance and Furious Fire","The Heavy;The Dap-Kings Horns",2007-01-01,179847,0,false,quirky613,2026-06-26T00:30:05Z,"","Counter Records / +1 Records",0.687,0.69,5,-4.96,0,0.0527,0.13,0,0.122,0.786,83.019,4
spotify:track:0oXuKhuNkXiZtuoxrdt3Ca,"Hot In Herre","Nellyville (Explicit Version)","Nelly",2002-06-25,228226,1,true,quirky613,2026-06-26T00:30:05Z,"r&b","Universal Music Group",0.955,0.728,9,-4.862,0,0.122,0.219,0,0.0612,0.922,107.082,4
spotify:track:0ARK753YaiJbpLUk7z5yIM,"Dilemma","Nellyville","Nelly;Kelly Rowland",2002-06-25,289160,84,true,quirky613,2026-06-26T00:30:05Z,"r&b","Motown",0.727,0.552,2,-8.074,0,0.14,0.226,0.00016,0.198,0.607,168.19,4
spotify:track:6splO3UF8hSmK33y5fJTNk,"Lay It All on Me (feat. Ed Sheeran)","We the Generation","Rudimental;Ed Sheeran",2015-09-18,242440,64,false,quirky613,2026-06-26T00:30:05Z,"old school hip hop,gangster rap,east coast hip hop,hip hop","Asylum/Major Tom's",0.669,0.747,6,-7.108,1,0.0428,0.141,0,0.185,0.483,122.531,4
spotify:track:0lYBSQXN6rCTvUZvg9S0lU,"Let Me Love You","Encore","DJ Snake;Justin Bieber",2016-08-05,205946,92,false,quirky613,2026-06-26T00:30:05Z,"","DJ Snake Def Jam",0.475,0.715,8,-5.371,1,0.058,0.0863,0.0000267,0.135,0.159,199.892,4
